file_name,valid_pixels,min_depth,max_depth,mean_depth,variance_depth,std_depth,median_depth,p25_depth,p75_depth
000000.tiff,30213,0.12733082473278046,1.179634928703308,0.2611352652987014,0.01139289556489646,0.1067375077697454,0.24635230004787445,0.18286244571208954,0.31376197934150696
000001.tiff,30213,0.12563428282737732,0.7897761464118958,0.2527970468172727,0.007676185079462328,0.08761384068434809,0.24346639215946198,0.18287478387355804,0.3072356581687927
000002.tiff,30213,0.12764877080917358,1.244970679283142,0.26542517675313543,0.012318993749184408,0.11099096246624951,0.24989886581897736,0.18659204244613647,0.31498679518699646
000003.tiff,30213,0.141237273812294,0.8047407269477844,0.25495436704697755,0.005808578837315006,0.07621403307341114,0.2507399618625641,0.19365476071834564,0.30311641097068787
000004.tiff,30213,0.13077548146247864,0.9046593308448792,0.25455390404034045,0.008807508565549847,0.09384832745206409,0.23618170619010925,0.18438640236854553,0.3037857115268707
000005.tiff,30213,0.11972122639417648,0.7748070359230042,0.24545252838597745,0.008440902931952148,0.0918743867024545,0.23312465846538544,0.172606959939003,0.29476624727249146
000006.tiff,30213,0.14154468476772308,0.9180976748466492,0.25444983715711256,0.008209422227828353,0.090605861994842,0.2373208999633789,0.1822410523891449,0.30335283279418945
000007.tiff,30213,0.12887844443321228,1.0644052028656006,0.25243909204931053,0.010167406777036099,0.10083355977568231,0.2386709749698639,0.17112316191196442,0.3028569519519806
000008.tiff,30213,0.12609490752220154,1.0675734281539917,0.24659900376236285,0.008620806645120231,0.09284829909653829,0.23076827824115753,0.18107099831104279,0.28564345836639404
000009.tiff,30213,0.14046376943588257,0.950815737247467,0.2644584725690102,0.008751022974913642,0.09354690254045636,0.24602550268173218,0.19027239084243774,0.316220760345459
000010.tiff,30213,0.11565876752138138,1.002156138420105,0.25171942217332527,0.011091133117502325,0.10531444875942866,0.23971737921237946,0.17489202320575714,0.29308006167411804
000011.tiff,30213,0.13066864013671875,0.9572166800498962,0.2660081914811907,0.009728539630855175,0.09863335962469885,0.2510311007499695,0.18662892282009125,0.3250035047531128
000012.tiff,30213,0.1270044893026352,0.9290390610694885,0.2681804146111254,0.011930948187772412,0.10922887982476252,0.2544350326061249,0.18159186840057373,0.32883307337760925
000013.tiff,30213,0.13669568300247192,0.9740420579910278,0.26054317397019067,0.007533682947555709,0.08679679111324168,0.24879516661167145,0.20121383666992188,0.2995980679988861
000014.tiff,30213,0.13604024052619934,1.7563340663909912,0.26452573912079314,0.01793598806169454,0.1339253077715132,0.24056653678417206,0.18555615842342377,0.30085286498069763
000015.tiff,30213,0.1349734216928482,0.8083366751670837,0.24805438508018932,0.005764926683909684,0.07592711428672687,0.24317185580730438,0.18821218609809875,0.2900967597961426
000016.tiff,30213,0.1355687826871872,0.8718542456626892,0.2442954149994465,0.007102563577771496,0.08427670839426214,0.23119179904460907,0.17726755142211914,0.2966769337654114
000017.tiff,30213,0.15399369597434998,0.9048280119895935,0.26511597418029115,0.007438437209162702,0.08624637504940542,0.2548365592956543,0.1958906203508377,0.3132750988006592
000018.tiff,30213,0.13399015367031097,1.519347071647644,0.2836889000811422,0.01872062133054965,0.13682332158864458,0.258983850479126,0.1908220797777176,0.33267515897750854
000019.tiff,30213,0.13597925007343292,2.7747769355773926,0.3769752407147561,0.07551042512798424,0.2747916030885664,0.2988723814487457,0.20638617873191833,0.42989206314086914
