file_name,valid_pixels,min_depth,max_depth,mean_depth,variance_depth,std_depth,median_depth,p25_depth,p75_depth
000000.tiff,80810,0.11041426658630371,0.34411805868148804,0.16997483730576163,0.0013305738622822242,0.036477031982909795,0.16806943714618683,0.1462588794529438,0.18347113952040672
000001.tiff,80810,0.11493175476789474,0.4192858934402466,0.2133945658591851,0.0037097191642690244,0.06090746394547243,0.2060651332139969,0.17332864180207253,0.24461351707577705
000002.tiff,80810,0.11303044855594635,0.42677828669548035,0.18638505012741066,0.0019079617961308877,0.043680222024743504,0.18590987473726273,0.15686623752117157,0.20711945742368698
000003.tiff,80810,0.11733420938253403,0.34707319736480713,0.1851995313420012,0.0013402027251311448,0.03660877934500336,0.18474624305963516,0.16020885854959488,0.20536664873361588
000004.tiff,80810,0.11219748109579086,0.3318454325199127,0.18001037971588546,0.0014525621365688419,0.03811249318227347,0.18187826871871948,0.15417015552520752,0.19991257786750793
000005.tiff,80810,0.11136695742607117,0.3357948958873749,0.17879863625647938,0.0015900099131975712,0.03987492837858861,0.17720235884189606,0.15182314068078995,0.196194089949131
000006.tiff,80810,0.11175111681222916,0.4854796528816223,0.21007944185786018,0.0033665570857391277,0.05802203965510974,0.20005695521831512,0.16724182665348053,0.24408167973160744
000007.tiff,80810,0.1145407110452652,0.38225749135017395,0.2014408716242984,0.0024223924281626635,0.049217806007202956,0.19936027377843857,0.16736869886517525,0.22216683253645897
000008.tiff,80810,0.11065994203090668,0.35974809527397156,0.17870912888313104,0.002036555314612527,0.04512820974304794,0.17332467436790466,0.14833702892065048,0.19683098047971725
000009.tiff,80810,0.10926549881696701,0.42531898617744446,0.16536848668353404,0.0018518085767765563,0.04303264547731822,0.1576785445213318,0.13629308715462685,0.1797933168709278
000010.tiff,80810,0.10644243657588959,0.4249255359172821,0.14926196145498358,0.0008191263671416893,0.028620383769993187,0.14431775361299515,0.13017500936985016,0.16328343003988266
000011.tiff,80810,0.10933905094861984,0.3068896532058716,0.1635214463251569,0.0009133926438698919,0.030222386468806397,0.16112039238214493,0.14363497495651245,0.17581810057163239
000012.tiff,80810,0.11069706827402115,0.3990328013896942,0.1707898213074594,0.0011726423084022866,0.0342438652666764,0.16850419342517853,0.1467294916510582,0.18629292398691177
000013.tiff,80810,0.10799948126077652,0.34476137161254883,0.1594246326980873,0.001101849069187903,0.03319411196564691,0.1544060930609703,0.13720893114805222,0.17010760307312012
000014.tiff,80810,0.10961387306451797,0.3501472473144531,0.16526423513634844,0.0011103524049484337,0.03332195079746133,0.1628202646970749,0.14091245830059052,0.183443371206522
000015.tiff,80810,0.10843280702829361,0.3276684880256653,0.16016199313912735,0.00165887707893418,0.04072931473685974,0.15126488357782364,0.13239560648798943,0.16931438818573952
000016.tiff,80810,0.10953419655561447,0.3532087206840515,0.1638086519152564,0.001541200137534201,0.03925812193080817,0.15552563965320587,0.1370762474834919,0.17634055018424988
000017.tiff,80810,0.11396486312150955,0.38259822130203247,0.18345125117299432,0.001825713409377896,0.04272836773594208,0.177189439535141,0.15404684841632843,0.2016797661781311
000018.tiff,80810,0.10746888071298599,0.35690417885780334,0.16385259366663518,0.0022462223650767305,0.04739432840622104,0.1495303139090538,0.13000106066465378,0.18283460289239883
000019.tiff,80810,0.10850879549980164,0.34302636981010437,0.16554712592954315,0.001167144418394946,0.034163495406573166,0.16098418831825256,0.142006266862154,0.17783817648887634
