file_name,valid_pixels,min_depth,max_depth,mean_depth,variance_depth,std_depth,median_depth,p25_depth,p75_depth
000000.tiff,64785,0.10092824697494507,0.4116860628128052,0.1521287707702341,0.0012893827385468467,0.03590797597396499,0.14551638066768646,0.12328145653009415,0.1742897778749466
000001.tiff,64785,0.11391041427850723,0.52044278383255,0.19893882049528952,0.0040516934181282355,0.06365291366566211,0.16976001858711243,0.14671668410301208,0.25642576813697815
000002.tiff,64785,0.1028863787651062,0.43894878029823303,0.16185633471978708,0.001526949050577054,0.03907619544655101,0.1575390249490738,0.130784809589386,0.18278071284294128
000003.tiff,64785,0.11232209950685501,0.35956263542175293,0.19288896535572617,0.0019488989221718332,0.04414633531984091,0.19249005615711212,0.1588829606771469,0.21945859491825104
000004.tiff,64785,0.10145898908376694,0.45771071314811707,0.16269966134782962,0.0018588223618505114,0.043114062228587456,0.15852482616901398,0.12649211287498474,0.18550622463226318
000005.tiff,64785,0.1011253073811531,0.4279591739177704,0.1640192959789712,0.0017877430026402028,0.04228171002502386,0.15747451782226562,0.13151858747005463,0.1905432641506195
000006.tiff,64785,0.10218839347362518,0.48931989073753357,0.15538788618722743,0.0014299258624569486,0.03781436053217017,0.14983108639717102,0.1301298588514328,0.17223381996154785
000007.tiff,64785,0.09766462445259094,0.23561260104179382,0.13817547396028945,0.0005401628558763896,0.023241403913627712,0.1328880488872528,0.11998984217643738,0.15205398201942444
000008.tiff,64785,0.09749327600002289,0.4372957646846771,0.15823701155540373,0.0013254462564047111,0.03640667873350591,0.15105026960372925,0.1352396011352539,0.17245833575725555
000009.tiff,64785,0.11465874314308167,0.44422754645347595,0.20635368267428297,0.0024634290225894508,0.04963294291687176,0.20170548558235168,0.16592474281787872,0.23759089410305023
000010.tiff,64785,0.10307461768388748,0.429074227809906,0.1748071413599038,0.00197607213900081,0.044453032956152834,0.16622856259346008,0.14090010523796082,0.2028319239616394
000011.tiff,64785,0.10868410766124725,0.3345700800418854,0.18475985673405076,0.0011863448362177363,0.03444335692434372,0.18501536548137665,0.16124378144741058,0.20518693327903748
000012.tiff,64785,0.10300879925489426,0.41636767983436584,0.15803294520271113,0.0011608652092928537,0.03407147207405124,0.1563176065683365,0.1303040236234665,0.17755679786205292
000013.tiff,64785,0.10016128420829773,0.3293038606643677,0.14659676833637908,0.0007749197897914988,0.027837381159000908,0.14198224246501923,0.12503384053707123,0.1624748706817627
000014.tiff,64785,0.11158017069101334,0.3336116373538971,0.16145774694406168,0.0013767229086073958,0.03710421685748664,0.156339630484581,0.13113613426685333,0.17756682634353638
000015.tiff,64785,0.10252996534109116,0.40919607877731323,0.15691875169157035,0.0011617787089655645,0.03408487507627928,0.151717871427536,0.1310255527496338,0.17584657669067383
000016.tiff,64785,0.1019563302397728,0.4074951410293579,0.16180103996096823,0.0014144589019901566,0.037609292761100366,0.16189095377922058,0.12778319418430328,0.18290574848651886
000017.tiff,64785,0.10978761315345764,0.356556236743927,0.17267428809437493,0.0012733369247353576,0.03568384683208017,0.16954854130744934,0.14919307827949524,0.18898528814315796
000018.tiff,64785,0.10064473003149033,0.3446483910083771,0.14775197503363321,0.0011870635401776434,0.03445378847351396,0.13992126286029816,0.12285506725311279,0.1598338782787323
000019.tiff,64785,0.10317063331604004,0.4278467893600464,0.17373794815652926,0.0015365374254232564,0.039198691628972215,0.16993236541748047,0.14508751034736633,0.19314689934253693
