file_name,valid_pixels,min_depth,max_depth,mean_depth,variance_depth,std_depth,median_depth,p25_depth,p75_depth
000000.tiff,53444,0.10677470266819,0.5791012644767761,0.19542489219999212,0.006662560837078557,0.0816245112516979,0.17215009033679962,0.1320677176117897,0.22669512778520584
000001.tiff,53444,0.10683487355709076,0.6416231393814087,0.21137033656951054,0.009725671240081881,0.0986188178801687,0.18393739312887192,0.13394398614764214,0.24456707388162613
000002.tiff,53444,0.108544260263443,0.6660045385360718,0.20137172542126533,0.007645769457682826,0.08744009067746228,0.17414849996566772,0.13414771482348442,0.23167388513684273
000003.tiff,53444,0.10942522436380386,0.6630145907402039,0.19557739284421238,0.005640263087971198,0.07510168498756335,0.180728018283844,0.13935759291052818,0.23185842111706734
000004.tiff,53444,0.10675380378961563,0.7938047051429749,0.19898902660617884,0.007284200409080029,0.08534752725814632,0.18217971920967102,0.1334158591926098,0.23566097766160965
000005.tiff,53444,0.10788646340370178,0.7386263012886047,0.19211836978717864,0.0059030476488159435,0.07683129342146951,0.17556793242692947,0.13309342041611671,0.22639400139451027
000006.tiff,53444,0.10850798338651657,0.7530025839805603,0.20980182322894114,0.00854489721429382,0.09243861322139044,0.18602876365184784,0.14059432595968246,0.24975809454917908
000007.tiff,53444,0.10890232026576996,0.5170933604240417,0.19067437505106527,0.005298778141890693,0.07279270665314412,0.17157602310180664,0.13337086141109467,0.2188670076429844
000008.tiff,53444,0.10690464079380035,0.707863986492157,0.17552435134562822,0.0049427921614356735,0.07030499385844276,0.15673048794269562,0.1251782365143299,0.2026556171476841
000009.tiff,53444,0.10849448293447495,0.6884750723838806,0.19630831308204513,0.0060012626679996975,0.07746781698227785,0.17929953336715698,0.13645033910870552,0.2354327030479908
000010.tiff,53444,0.10368119180202484,0.6088008880615234,0.17766488583609444,0.004719087485727409,0.06869561474888633,0.160967618227005,0.12826358899474144,0.20434318482875824
000011.tiff,53444,0.10673489421606064,0.6661089658737183,0.2144688799109899,0.0099352613144108,0.09967578098219647,0.18387194722890854,0.1370534673333168,0.25209756940603256
000012.tiff,53444,0.10421548783779144,0.6826477646827698,0.18170452841732032,0.005313747831036312,0.0728954582332556,0.1647864580154419,0.12715255841612816,0.21113042533397675
000013.tiff,53444,0.10430557280778885,0.5943930149078369,0.1752411987045322,0.0037028215822733847,0.06085081414634799,0.16741860657930374,0.12958800420165062,0.2038065306842327
000014.tiff,53444,0.10654283314943314,0.6734744906425476,0.18477124068976658,0.005388981548100513,0.07340968293148059,0.16941318660974503,0.13333482295274734,0.21606935933232307
000015.tiff,53444,0.10794933885335922,0.5715150833129883,0.19222694013933295,0.00446282899314621,0.06680440848586423,0.18103080987930298,0.1375976838171482,0.22923850640654564
000016.tiff,53444,0.10724756866693497,0.6072521209716797,0.1837235105355486,0.00438450704519844,0.06621561028336476,0.17236340790987015,0.13247256726026535,0.22160474583506584
000017.tiff,53444,0.10936124622821808,0.5424865484237671,0.185054204167614,0.004025470547787244,0.06344659602994666,0.17526254057884216,0.1336493268609047,0.21886605024337769
000018.tiff,53444,0.10838740319013596,0.5149722695350647,0.18072012522276754,0.003550852367719388,0.059589028920761816,0.16785729676485062,0.13428722694516182,0.21228663623332977
000019.tiff,53444,0.10926070064306259,0.6208818554878235,0.19148917834396942,0.0055869752078420935,0.07474607152113141,0.17468030750751495,0.13347799703478813,0.22721627727150917
