排序,搜索起始_rx_度,搜索起始_ry_度,搜索起始_rz_度,收敛结束_rx_度,收敛结束_ry_度,收敛结束_rz_度,覆盖程度,loss
145,45.0,270.0,45.0,-90.00000000000001,-90.00000000000001,0.0,0.0,0.0
146,45.0,270.0,90.0,-45.00000000000001,-90.00000000000001,0.0,0.0,0.0
147,45.0,270.0,180.0,44.99999999999998,-90.00000000000001,0.0,0.0,0.0
148,45.0,270.0,225.0,89.99999999999999,-90.00000000000001,0.0,0.0,0.0
149,45.0,270.0,270.0,134.99999999999997,-90.00000000000001,0.0,0.0,0.0
150,45.0,270.0,315.0,180.0,-90.00000000000001,0.0,0.0,0.0
151,45.0,315.0,45.0,45.0,-45.000000000000014,44.999999999999986,0.0,0.0
152,45.0,315.0,135.0,44.99999999999998,-45.00000000000002,135.0,0.0,0.0
153,45.0,315.0,180.0,44.99999999999999,-45.000000000000014,180.0,0.0,0.0
154,45.0,315.0,225.0,45.000000000000014,-45.000000000000014,-135.00000000000003,0.0,0.0
155,45.0,315.0,270.0,45.00000000000001,-45.000000000000014,-90.00000000000003,0.0,0.0
156,45.0,315.0,315.0,44.99999999999999,-45.000000000000014,-45.00000000000001,0.0,0.0
157,90.0,0.0,0.0,90.0,-0.0,0.0,0.0,0.0
158,90.0,0.0,45.0,90.0,-0.0,45.0,0.0,0.0
159,90.0,0.0,90.0,90.0,-0.0,90.0,0.0,0.0
160,90.0,0.0,135.0,90.0,-0.0,135.0,0.0,0.0
161,90.0,0.0,180.0,90.0,-0.0,180.0,0.0,0.0
162,90.0,0.0,225.0,90.0,-0.0,-135.00000000000003,0.0,0.0
163,90.0,0.0,270.0,90.0,-0.0,-90.00000000000001,0.0,0.0
164,90.0,0.0,315.0,90.0,-0.0,-45.000000000000014,0.0,0.0
165,90.0,45.0,0.0,90.0,45.0,0.0,0.0,0.0
166,90.0,45.0,45.0,90.00000000000001,45.0,45.0,0.0,0.0
167,90.0,45.0,90.0,90.0,45.0,90.0,0.0,0.0
168,90.0,45.0,135.0,89.99999999999999,45.0,135.0,0.0,0.0
169,90.0,45.0,180.0,90.0,45.0,180.0,0.0,0.0
170,90.0,45.0,225.0,90.0,45.0,-135.0,0.0,0.0
171,90.0,45.0,270.0,90.0,45.0,-90.00000000000003,0.0,0.0
172,90.0,45.0,315.0,90.0,45.0,-45.0,0.0,0.0
173,90.0,90.0,0.0,90.0,90.0,0.0,0.0,0.0
174,90.0,90.0,45.0,45.00000000000001,90.0,0.0,0.0,0.0
175,90.0,90.0,90.0,0.0,90.0,0.0,0.0,0.0
176,90.0,90.0,135.0,-45.0,90.0,0.0,0.0,0.0
177,90.0,90.0,180.0,-90.0,90.0,0.0,0.0,0.0
178,90.0,90.0,225.0,-135.0,90.0,0.0,0.0,0.0
179,90.0,90.0,270.0,-180.0,90.0,0.0,0.0,0.0
180,90.0,90.0,315.0,135.00000000000003,90.0,0.0,0.0,0.0
181,90.0,135.0,0.0,-90.00000000000001,45.00000000000001,180.0,0.0,0.0
182,90.0,135.0,45.0,-90.00000000000001,45.0,-135.0,0.0,0.0
183,90.0,135.0,90.0,-90.0,45.00000000000001,-90.0,0.0,0.0
184,90.0,135.0,135.0,-90.00000000000001,45.0,-45.0,0.0,0.0
185,90.0,135.0,180.0,-90.00000000000001,45.00000000000001,-7.016709298534876e-15,0.0,0.0
186,90.0,135.0,225.0,-90.00000000000001,45.0,44.99999999999999,0.0,0.0
