排序,搜索起始_rx_度,搜索起始_ry_度,搜索起始_rz_度,收敛结束_rx_度,收敛结束_ry_度,收敛结束_rz_度,覆盖程度,loss
321,180.0,270.0,45.0,44.999999999999986,-89.99999999999999,0.0,0.0,0.0
322,180.0,270.0,90.0,89.99999999999999,-89.99999999999999,0.0,0.0,0.0
323,180.0,270.0,135.0,135.0,-89.99999999999999,0.0,0.0,0.0
324,180.0,270.0,180.0,180.0,-89.99999999999999,0.0,0.0,0.0
325,180.0,270.0,225.0,-135.00000000000003,-89.99999999999999,0.0,0.0,0.0
326,180.0,270.0,270.0,-90.00000000000001,-89.99999999999999,0.0,0.0,0.0
327,180.0,270.0,315.0,-45.00000000000003,-89.99999999999999,0.0,0.0,0.0
328,180.0,315.0,45.0,180.0,-45.000000000000014,44.999999999999986,0.0,0.0
329,180.0,315.0,90.0,180.0,-45.000000000000014,90.0,0.0,0.0
330,180.0,315.0,135.0,180.0,-45.00000000000002,135.0,0.0,0.0
331,180.0,315.0,180.0,180.0,-45.000000000000014,180.0,0.0,0.0
332,180.0,315.0,225.0,180.0,-45.000000000000014,-135.00000000000003,0.0,0.0
333,180.0,315.0,270.0,180.0,-45.000000000000014,-90.00000000000003,0.0,0.0
334,180.0,315.0,315.0,180.0,-45.000000000000014,-45.00000000000001,0.0,0.0
335,225.0,0.0,0.0,-135.00000000000003,-0.0,0.0,0.0,0.0
336,225.0,0.0,45.0,-135.0,-0.0,45.0,0.0,0.0
337,225.0,0.0,90.0,-135.00000000000003,-0.0,90.0,0.0,0.0
338,225.0,0.0,135.0,-135.0,-0.0,135.0,0.0,0.0
339,225.0,0.0,180.0,-135.00000000000003,-0.0,180.0,0.0,0.0
340,225.0,0.0,225.0,-135.0,-0.0,-135.00000000000003,0.0,0.0
341,225.0,0.0,270.0,-135.00000000000003,-0.0,-90.00000000000001,0.0,0.0
342,225.0,0.0,315.0,-135.00000000000003,-0.0,-45.000000000000014,0.0,0.0
343,225.0,45.0,0.0,-135.00000000000003,45.0,0.0,0.0,0.0
344,225.0,45.0,45.0,-135.00000000000003,45.0,45.0,0.0,0.0
345,225.0,45.0,90.0,-135.00000000000003,45.0,90.0,0.0,0.0
346,225.0,45.0,135.0,-135.00000000000003,45.0,135.0,0.0,0.0
347,225.0,45.0,180.0,-135.0,45.0,180.0,0.0,0.0
348,225.0,45.0,225.0,-135.0,45.0,-135.0,0.0,0.0
349,225.0,45.0,270.0,-135.00000000000003,45.0,-90.00000000000003,0.0,0.0
350,225.0,45.0,315.0,-134.99999999999997,45.0,-45.0,0.0,0.0
351,225.0,90.0,0.0,-135.00000000000003,90.0,0.0,0.0,0.0
352,225.0,90.0,45.0,180.0,90.0,0.0,0.0,0.0
353,225.0,90.0,90.0,135.0,90.0,0.0,0.0,0.0
354,225.0,90.0,135.0,89.99999999999999,90.0,0.0,0.0,0.0
355,225.0,90.0,180.0,45.0,90.0,0.0,0.0,0.0
356,225.0,90.0,225.0,-2.4444795064968655e-15,90.0,0.0,0.0,0.0
357,225.0,90.0,270.0,-45.0,90.0,0.0,0.0,0.0
358,225.0,90.0,315.0,-90.0,90.0,0.0,0.0,0.0
359,225.0,135.0,0.0,44.999999999999986,45.00000000000001,180.0,0.0,0.0
360,225.0,135.0,45.0,44.99999999999998,45.0,-135.0,0.0,0.0
361,225.0,135.0,90.0,44.99999999999997,45.00000000000001,-90.0,0.0,0.0
362,225.0,135.0,135.0,44.99999999999999,45.0,-45.0,0.0,0.0
363,225.0,135.0,180.0,44.99999999999999,45.00000000000001,-7.016709298534876e-15,0.0,0.0
364,225.0,135.0,225.0,45.00000000000001,45.0,44.99999999999999,0.0,0.0
365,225.0,135.0,270.0,44.999999999999986,45.00000000000001,89.99999999999999,0.0,0.0
366,225.0,135.0,315.0,44.99999999999999,45.00000000000001,134.99999999999997,0.0,0.0
367,225.0,180.0,0.0,44.99999999999998,7.016709298534876e-15,180.0,0.0,0.0
368,225.0,180.0,45.0,44.99999999999997,7.0167092985348775e-15,-135.0,0.0,0.0
369,225.0,180.0,90.0,44.99999999999999,7.016709298534876e-15,-90.0,0.0,0.0
370,225.0,180.0,135.0,45.00000000000001,7.016709298534876e-15,-45.00000000000001,0.0,0.0
371,225.0,180.0,180.0,44.99999999999999,7.016709298534876e-15,-7.016709298534876e-15,0.0,0.0
372,225.0,180.0,315.0,45.00000000000001,7.016709298534876e-15,135.0,0.0,0.0
373,225.0,225.0,0.0,44.999999999999986,-44.99999999999999,180.0,0.0,0.0
374,225.0,225.0,45.0,44.99999999999999,-44.999999999999986,-135.0,0.0,0.0
375,225.0,225.0,90.0,44.99999999999998,-44.99999999999999,-90.0,0.0,0.0
376,225.0,225.0,135.0,44.99999999999998,-44.999999999999986,-45.0,0.0,0.0
377,225.0,225.0,225.0,44.99999999999999,-44.999999999999986,45.0,0.0,0.0
378,225.0,225.0,315.0,44.999999999999986,-44.99999999999999,135.0,0.0,0.0
379,225.0,270.0,0.0,44.99999999999998,-90.0,0.0,0.0,0.0
380,225.0,270.0,45.0,89.99999999999999,-90.0,0.0,0.0,0.0
381,225.0,270.0,90.0,135.0,-90.0,0.0,0.0,0.0
382,225.0,270.0,135.0,180.0,-89.99999999999999,0.0,0.0,0.0
383,225.0,270.0,180.0,-135.00000000000003,-90.0,0.0,0.0,0.0
384,225.0,270.0,225.0,-90.00000000000003,-90.0,0.0,0.0,0.0
385,225.0,270.0,270.0,-45.00000000000001,-90.0,0.0,0.0,0.0
386,225.0,315.0,45.0,-135.0,-45.000000000000014,44.999999999999986,0.0,0.0
387,225.0,315.0,90.0,-135.00000000000003,-45.000000000000014,90.0,0.0,0.0
388,225.0,315.0,135.0,-135.00000000000003,-45.00000000000002,135.0,0.0,0.0
389,225.0,315.0,180.0,-135.00000000000003,-45.000000000000014,180.0,0.0,0.0
390,225.0,315.0,225.0,-135.0,-45.000000000000014,-135.00000000000003,0.0,0.0
391,225.0,315.0,270.0,-135.0,-45.000000000000014,-90.00000000000003,0.0,0.0
392,225.0,315.0,315.0,-135.00000000000003,-45.000000000000014,-45.00000000000001,0.0,0.0
393,270.0,0.0,0.0,-90.00000000000001,-0.0,0.0,0.0,0.0
394,270.0,0.0,45.0,-90.00000000000001,-0.0,45.0,0.0,0.0
395,270.0,0.0,90.0,-90.00000000000001,-0.0,90.0,0.0,0.0
396,270.0,0.0,135.0,-90.00000000000001,-0.0,135.0,0.0,0.0
397,270.0,0.0,180.0,-90.00000000000001,-0.0,180.0,0.0,0.0
398,270.0,0.0,225.0,-90.00000000000001,-0.0,-135.00000000000003,0.0,0.0
399,270.0,0.0,270.0,-90.00000000000001,-0.0,-90.00000000000001,0.0,0.0
400,270.0,0.0,315.0,-90.00000000000001,-0.0,-45.000000000000014,0.0,0.0
401,270.0,45.0,0.0,-90.00000000000001,45.0,0.0,0.0,0.0
402,270.0,45.0,45.0,-90.00000000000001,45.0,45.0,0.0,0.0
403,270.0,45.0,90.0,-90.00000000000001,45.0,90.0,0.0,0.0
404,270.0,45.0,135.0,-90.00000000000003,45.0,135.0,0.0,0.0
405,270.0,45.0,180.0,-90.00000000000001,45.0,180.0,0.0,0.0
406,270.0,45.0,225.0,-90.00000000000001,45.0,-135.0,0.0,0.0
407,270.0,45.0,270.0,-90.00000000000001,45.0,-90.00000000000003,0.0,0.0
408,270.0,45.0,315.0,-90.00000000000001,45.0,-45.0,0.0,0.0
409,270.0,90.0,0.0,-90.00000000000001,90.0,0.0,0.0,0.0
410,270.0,90.0,45.0,-135.0,90.0,0.0,0.0,0.0
411,270.0,90.0,90.0,180.0,90.0,0.0,0.0,0.0
412,270.0,90.0,135.0,135.0,90.0,0.0,0.0,0.0
413,270.0,90.0,180.0,90.0,90.0,0.0,0.0,0.0
414,270.0,90.0,225.0,45.0,90.0,0.0,0.0,0.0
415,270.0,90.0,270.0,0.0,90.0,0.0,0.0,0.0
416,270.0,90.0,315.0,-45.0,90.0,0.0,0.0,0.0
417,270.0,135.0,0.0,89.99999999999999,45.00000000000001,180.0,0.0,0.0
418,270.0,135.0,45.0,90.00000000000001,45.0,-135.0,0.0,0.0
419,270.0,135.0,90.0,89.99999999999999,45.00000000000001,-90.0,0.0,0.0
420,270.0,135.0,135.0,90.00000000000001,45.0,-45.0,0.0,0.0
421,270.0,135.0,180.0,89.99999999999999,45.00000000000001,-7.016709298534876e-15,0.0,0.0
422,270.0,135.0,225.0,90.00000000000001,45.0,44.99999999999999,0.0,0.0
423,270.0,135.0,270.0,90.0,45.00000000000001,89.99999999999999,0.0,0.0
424,270.0,135.0,315.0,90.0,45.00000000000001,134.99999999999997,0.0,0.0
425,270.0,180.0,0.0,89.99999999999999,7.016709298534876e-15,180.0,0.0,0.0
426,270.0,180.0,45.0,90.0,7.0167092985348775e-15,-135.0,0.0,0.0
427,270.0,180.0,90.0,89.99999999999999,7.016709298534876e-15,-90.0,0.0,0.0
428,270.0,180.0,135.0,89.99999999999999,7.016709298534876e-15,-45.00000000000001,0.0,0.0
429,270.0,180.0,180.0,89.99999999999999,7.016709298534876e-15,-7.016709298534876e-15,0.0,0.0
430,270.0,180.0,225.0,90.0,7.016709298534876e-15,44.99999999999999,0.0,0.0
431,270.0,180.0,270.0,90.0,7.016709298534876e-15,89.99999999999999,0.0,0.0
432,270.0,180.0,315.0,90.0,7.016709298534876e-15,135.0,0.0,0.0
433,270.0,225.0,0.0,89.99999999999999,-44.99999999999999,180.0,0.0,0.0
434,270.0,225.0,45.0,90.0,-44.999999999999986,-135.0,0.0,0.0
435,270.0,225.0,90.0,89.99999999999999,-44.99999999999999,-90.0,0.0,0.0
436,270.0,225.0,135.0,89.99999999999997,-44.999999999999986,-45.0,0.0,0.0
437,270.0,225.0,225.0,89.99999999999997,-44.999999999999986,45.0,0.0,0.0
438,270.0,225.0,270.0,90.0,-44.99999999999999,89.99999999999999,0.0,0.0
439,270.0,225.0,315.0,90.0,-44.99999999999999,135.0,0.0,0.0
440,270.0,270.0,0.0,89.99999999999999,-90.0,0.0,0.0,0.0
441,270.0,270.0,45.0,134.99999999999997,-90.0,0.0,0.0,0.0
442,270.0,270.0,90.0,180.0,-90.0,0.0,0.0,0.0
443,270.0,270.0,135.0,-135.00000000000003,-90.0,0.0,0.0,0.0
444,270.0,270.0,180.0,-90.00000000000001,-90.0,0.0,0.0,0.0
445,270.0,270.0,225.0,-45.00000000000003,-90.0,0.0,0.0,0.0
446,270.0,270.0,315.0,44.99999999999998,-90.0,0.0,0.0,0.0
447,270.0,315.0,45.0,-90.00000000000001,-45.000000000000014,44.999999999999986,0.0,0.0
448,270.0,315.0,90.0,-90.00000000000001,-45.000000000000014,90.0,0.0,0.0
449,270.0,315.0,135.0,-90.00000000000001,-45.00000000000002,135.0,0.0,0.0
450,270.0,315.0,180.0,-90.00000000000001,-45.000000000000014,180.0,0.0,0.0
451,270.0,315.0,225.0,-90.0,-45.000000000000014,-135.00000000000003,0.0,0.0
452,270.0,315.0,270.0,-90.00000000000001,-45.000000000000014,-90.00000000000003,0.0,0.0
453,270.0,315.0,315.0,-90.00000000000001,-45.000000000000014,-45.00000000000001,0.0,0.0
454,315.0,0.0,0.0,-45.000000000000014,-0.0,0.0,0.0,0.0
455,315.0,0.0,45.0,-45.000000000000014,-0.0,45.0,0.0,0.0
456,315.0,0.0,90.0,-45.000000000000014,-0.0,90.0,0.0,0.0
457,315.0,0.0,135.0,-45.000000000000014,-0.0,135.0,0.0,0.0
458,315.0,0.0,180.0,-45.000000000000014,-0.0,180.0,0.0,0.0
459,315.0,0.0,225.0,-45.000000000000014,-0.0,-135.00000000000003,0.0,0.0
460,315.0,0.0,315.0,-45.0,-0.0,-45.000000000000014,0.0,0.0
461,315.0,45.0,0.0,-45.000000000000014,45.0,0.0,0.0,0.0
462,315.0,45.0,45.0,-45.00000000000002,45.0,45.0,0.0,0.0
463,315.0,45.0,90.0,-45.00000000000001,45.0,90.0,0.0,0.0
464,315.0,45.0,135.0,-45.000000000000014,45.0,135.0,0.0,0.0
465,315.0,45.0,180.0,-45.0,45.0,180.0,0.0,0.0
466,315.0,45.0,225.0,-45.000000000000014,45.0,-135.0,0.0,0.0
467,315.0,45.0,270.0,-45.00000000000002,45.0,-90.00000000000003,0.0,0.0
468,315.0,45.0,315.0,-45.00000000000002,45.0,-45.0,0.0,0.0
469,315.0,90.0,0.0,-45.000000000000014,90.0,0.0,0.0,0.0
470,315.0,90.0,45.0,-90.00000000000001,90.0,0.0,0.0,0.0
471,315.0,90.0,90.0,-135.00000000000003,90.0,0.0,0.0,0.0
472,315.0,90.0,135.0,180.0,90.0,0.0,0.0,0.0
473,315.0,90.0,180.0,135.0,90.0,0.0,0.0,0.0
474,315.0,90.0,225.0,90.0,90.0,0.0,0.0,0.0
475,315.0,90.0,270.0,45.0,90.0,0.0,0.0,0.0
476,315.0,90.0,315.0,5.813537099647784e-16,90.0,0.0,0.0,0.0
477,315.0,135.0,0.0,135.0,45.00000000000001,180.0,0.0,0.0
478,315.0,135.0,45.0,135.0,45.0,-135.0,0.0,0.0
479,315.0,135.0,90.0,135.0,45.00000000000001,-90.0,0.0,0.0
480,315.0,135.0,135.0,135.0,45.0,-45.0,0.0,0.0
481,315.0,135.0,180.0,134.99999999999997,45.00000000000001,-7.016709298534876e-15,0.0,0.0
482,315.0,135.0,225.0,135.0,45.0,44.99999999999999,0.0,0.0
483,315.0,135.0,270.0,135.0,45.00000000000001,89.99999999999999,0.0,0.0
484,315.0,135.0,315.0,135.0,45.00000000000001,134.99999999999997,0.0,0.0
485,315.0,180.0,0.0,135.0,7.016709298534876e-15,180.0,0.0,0.0
486,315.0,180.0,45.0,134.99999999999997,7.0167092985348775e-15,-135.0,0.0,0.0
487,315.0,180.0,90.0,134.99999999999997,7.016709298534876e-15,-90.0,0.0,0.0
488,315.0,180.0,135.0,135.0,7.016709298534876e-15,-45.00000000000001,0.0,0.0
489,315.0,180.0,180.0,135.0,7.016709298534876e-15,-7.016709298534876e-15,0.0,0.0
490,315.0,180.0,225.0,135.0,7.016709298534876e-15,44.99999999999999,0.0,0.0
491,315.0,180.0,270.0,134.99999999999997,7.016709298534876e-15,89.99999999999999,0.0,0.0
492,315.0,180.0,315.0,135.0,7.016709298534876e-15,135.0,0.0,0.0
493,315.0,225.0,0.0,135.0,-44.99999999999999,180.0,0.0,0.0
494,315.0,225.0,45.0,135.0,-44.999999999999986,-135.0,0.0,0.0
495,315.0,225.0,90.0,134.99999999999997,-44.99999999999999,-90.0,0.0,0.0
496,315.0,225.0,135.0,134.99999999999994,-44.999999999999986,-45.0,0.0,0.0
497,315.0,225.0,225.0,135.0,-44.999999999999986,45.0,0.0,0.0
498,315.0,225.0,270.0,134.99999999999997,-44.99999999999999,89.99999999999999,0.0,0.0
499,315.0,225.0,315.0,135.0,-44.99999999999999,135.0,0.0,0.0
500,315.0,270.0,0.0,135.0,-90.00000000000001,0.0,0.0,0.0
501,315.0,270.0,45.0,180.0,-90.00000000000001,0.0,0.0,0.0
502,315.0,270.0,90.0,-135.00000000000003,-90.00000000000001,0.0,0.0,0.0
503,315.0,270.0,135.0,-90.00000000000001,-90.00000000000001,0.0,0.0,0.0
504,315.0,270.0,180.0,-45.00000000000003,-90.00000000000001,0.0,0.0,0.0
505,315.0,270.0,270.0,44.99999999999998,-90.00000000000001,0.0,0.0,0.0
506,315.0,270.0,315.0,89.99999999999997,-90.00000000000001,0.0,0.0,0.0
507,315.0,315.0,45.0,-45.00000000000002,-45.000000000000014,44.999999999999986,0.0,0.0
508,315.0,315.0,90.0,-45.000000000000014,-45.000000000000014,90.0,0.0,0.0
509,315.0,315.0,135.0,-45.00000000000002,-45.00000000000002,135.0,0.0,0.0
510,315.0,315.0,180.0,-45.00000000000003,-45.000000000000014,180.0,0.0,0.0
511,315.0,315.0,225.0,-45.00000000000002,-45.000000000000014,-135.00000000000003,0.0,0.0
512,315.0,315.0,315.0,-45.000000000000014,-45.000000000000014,-45.00000000000001,0.0,0.0
