排序,搜索起始_rx_度,搜索起始_ry_度,搜索起始_rz_度,收敛结束_rx_度,收敛结束_ry_度,收敛结束_rz_度,最终平移_x_米,最终平移_y_米,最终平移_z_米,覆盖程度,loss
162,90.0,0.0,225.0,90.0,-0.0,-135.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
163,90.0,0.0,270.0,90.0,-0.0,-90.00000000000001,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
164,90.0,0.0,315.0,90.0,-0.0,-45.000000000000014,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
165,90.0,45.0,0.0,90.0,45.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
166,90.0,45.0,45.0,90.00000000000001,45.0,45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
167,90.0,45.0,90.0,90.0,45.0,90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
168,90.0,45.0,135.0,89.99999999999999,45.0,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
169,90.0,45.0,180.0,90.0,45.0,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
170,90.0,45.0,225.0,90.0,45.0,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
171,90.0,45.0,270.0,90.0,45.0,-90.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
172,90.0,45.0,315.0,90.0,45.0,-45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
173,90.0,90.0,0.0,90.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
174,90.0,90.0,45.0,45.00000000000001,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
175,90.0,90.0,90.0,0.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
176,90.0,90.0,135.0,-45.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
177,90.0,90.0,180.0,-90.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
178,90.0,90.0,225.0,-135.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
179,90.0,90.0,270.0,-180.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
180,90.0,90.0,315.0,135.00000000000003,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
181,90.0,135.0,0.0,-90.00000000000001,45.00000000000001,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
182,90.0,135.0,45.0,-90.00000000000001,45.0,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
