file_name,valid_pixels,min_depth,max_depth,mean_depth,variance_depth,std_depth,median_depth,p25_depth,p75_depth
000000.tiff,79217,0.10668810456991196,0.5865780115127563,0.16206225934916724,0.0015531238540996885,0.039409692387783093,0.1532122641801834,0.1320141702890396,0.18500037491321564
000001.tiff,79217,0.10645099729299545,0.42837515473365784,0.15134035138789545,0.0009778622832249699,0.0312707896162692,0.1436087042093277,0.12844152748584747,0.16642160713672638
000002.tiff,79217,0.1073332130908966,0.3591717779636383,0.15431195566556977,0.0009968192976591724,0.031572445227748394,0.14858371019363403,0.1279347687959671,0.17287656664848328
000003.tiff,79217,0.10707638412714005,0.35652273893356323,0.15963801323130916,0.0012438283538186634,0.03526795080265741,0.14949388802051544,0.13366930186748505,0.1793302744626999
000004.tiff,79217,0.10393838584423065,0.3165125250816345,0.151113780300759,0.0009713582053548626,0.031166620050221402,0.14401312172412872,0.12523876130580902,0.16913162171840668
000005.tiff,79217,0.10280389338731766,0.2941967844963074,0.15011444293649231,0.0007680253450860561,0.027713270198337404,0.14889878034591675,0.12572774291038513,0.16962918639183044
000006.tiff,79217,0.10772314667701721,0.6035708785057068,0.1524715928265662,0.0013613049512557342,0.03689586631664493,0.1434076428413391,0.12800651788711548,0.1685056835412979
000007.tiff,79217,0.10783559828996658,0.3970322608947754,0.15283347686353257,0.0011454733530986295,0.03384484234116964,0.14366966485977173,0.12810082733631134,0.16722968220710754
000008.tiff,79217,0.10535270720720291,0.37115615606307983,0.14248599539061768,0.0006482118218700452,0.025460004357227537,0.13948792219161987,0.12106712907552719,0.1600334495306015
000009.tiff,79217,0.10737606137990952,0.4457280933856964,0.16003298692081025,0.0013852236371798964,0.03721859262760881,0.15387962758541107,0.12860122323036194,0.18537680804729462
000010.tiff,79217,0.10374198853969574,0.6888635754585266,0.15590755708360174,0.0017382024006668652,0.04169175458848986,0.14675289392471313,0.12632420659065247,0.1771446019411087
000011.tiff,79217,0.10407601296901703,0.3254930078983307,0.1484214640975206,0.0007571850696659112,0.02751699601457091,0.14371460676193237,0.1258106529712677,0.16796527802944183
000012.tiff,79217,0.10695052891969681,0.4882007837295532,0.16032627075208936,0.001522826871736815,0.039023414403878284,0.15033656358718872,0.13045282661914825,0.18009693920612335
000013.tiff,79217,0.10417620092630386,0.36909475922584534,0.15587781753412142,0.0011344903558446677,0.033682196422511815,0.14782635867595673,0.12877021729946136,0.17577913403511047
000014.tiff,79217,0.10410209745168686,0.5909726023674011,0.15875779966259876,0.0014306254884993031,0.037823610199177224,0.15057186782360077,0.12948843836784363,0.18149325251579285
000015.tiff,79217,0.10823830962181091,0.329816997051239,0.16278060068248768,0.0015381806328023191,0.03921964600557123,0.15240129828453064,0.13059492409229279,0.1909901350736618
000016.tiff,79217,0.10299666970968246,0.39695578813552856,0.15230741938657105,0.0010615444100976494,0.032581350648763004,0.1435772031545639,0.12723146378993988,0.17323201894760132
000017.tiff,79217,0.1049363911151886,0.44320574402809143,0.14504370676943262,0.0008701228080585127,0.029497844125605393,0.13880334794521332,0.12324930727481842,0.1570904552936554
000018.tiff,79217,0.1041027307510376,0.3572562634944916,0.1544428712053636,0.0014359737485048376,0.03789424426617897,0.14298434555530548,0.12247729301452637,0.1817416399717331
000019.tiff,79217,0.10469867289066315,0.4076986312866211,0.14744306045208885,0.000843872481661567,0.02904948332865091,0.14282086491584778,0.12505687773227692,0.1625601351261139
